scale_factor,config_id,engine,threads,ratio_mode,cpu_ratio,gpu_ratio,request_index,status,result_hash,query_total_ms,cpu_scan_ms,gpu_kernel_ms,h2d_ms,d2h_ms,overlap_wall_ms,input_lineitem_rows,matched_lineitem_rows,cpu_input_rows,gpu_input_rows,h2d_bytes,d2h_bytes,mapped_remote_read_bytes,throughput_rows_per_second,selected_cpu_ratio
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,11,ok,542abf4003633c7c,1.270712,0.0,1.2373119592666626,0.0,0.017343999817967415,0.0,6001215,7243,0,6001215,0,212,0,4722718444.462632,0.0
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,12,ok,542abf4003633c7c,1.252795,0.0,1.2213120460510254,0.0,0.015968000516295433,0.0,6001215,7243,0,6001215,0,212,0,4790260976.456642,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,3,ok,542abf4003633c7c,1.432412,0.0,1.230847954750061,0.09430400282144547,0.06758400052785873,0.0,6001215,7243,0,6001215,212,212,0,4189587213.734596,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,4,ok,542abf4003633c7c,1.439252,0.0,1.2390400171279907,0.09529600292444229,0.06656000018119812,0.0,6001215,7243,0,6001215,212,212,0,4169676331.8723893,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,5,ok,542abf4003633c7c,1.449417,0.0,1.2421120405197144,0.09622400254011154,0.07680000364780426,0.0,6001215,7243,0,6001215,212,212,0,4140433705.41397,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,6,ok,542abf4003633c7c,1.442237,0.0,1.2429440021514893,0.09523200243711472,0.06758400052785873,0.0,6001215,7243,0,6001215,212,212,0,4161046346.751609,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,7,ok,542abf4003633c7c,1.441576,0.0,1.248255968093872,0.09523200243711472,0.06758400052785873,0.0,6001215,7243,0,6001215,212,212,0,4162954294.466612,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,8,ok,542abf4003633c7c,1.439262,0.0,1.2390400171279907,0.09625600278377533,0.06758400052785873,0.0,6001215,7243,0,6001215,212,212,0,4169647360.939148,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,9,ok,542abf4003633c7c,1.442076,0.0,1.2441600561141968,0.0942080020904541,0.07472000271081924,0.0,6001215,7243,0,6001215,212,212,0,4161510905.1117973,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,10,ok,542abf4003633c7c,1.432191,0.0,1.2339199781417847,0.09516800194978714,0.06844799965620041,0.0,6001215,7243,0,6001215,212,212,0,4190233704.8619914,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,11,ok,542abf4003633c7c,1.432111,0.0,1.2350080013275146,0.09523200243711472,0.06758400052785873,0.0,6001215,7243,0,6001215,212,212,0,4190467777.986483,0.0
1,gpu-managed,gpu-managed,1,fixed,0.0,1.0,12,ok,542abf4003633c7c,1.440914,0.0,1.2349439859390259,0.09523200243711472,0.077504001557827,0.0,6001215,7243,0,6001215,212,212,0,4164866883.1033635,0.0
1,gpu-mapped,gpu-mapped,1,fixed,0.0,1.0,3,ok,542abf4003633c7c,22.965087,0.0,2.532288074493408,0.0,0.02191999927163124,0.0,6001215,7243,0,6001215,0,212,96106356,261319062.27918926,0.0
