algo,variant,r_exp,r_size,s_size,payload_width,radix_bits,threads,repeats,ok_runs,status,throughput_mtps,time_ms,vector_total_bytes,extra_space_ratio,raw_csv
VJ,VJ_pw4,28,268435456,1073741824,4,,64,1,1,OK,71.691578,14977.238,1342177285,0.12500000,final-full-main-s2e30.raw.csv
NPO,NPO,29,536870912,1073741824,,,64,1,1,OK,260.399527,4123.440,8592032904,0.66682952,final-full-main-s2e30.raw.csv
PRO,PRO,29,536870912,1073741824,,18,64,1,1,OK,711.016199,1510.151,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,29,536870912,1073741824,1,,64,1,1,OK,44.808999,23962.638,1073741826,0.08333333,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,29,536870912,1073741824,2,,64,1,1,OK,38.822205,27657.930,1610612739,0.12500000,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,29,536870912,1073741824,4,,64,1,1,OK,37.678737,28497.288,2684354565,0.20833333,final-full-main-s2e30.raw.csv
NPO,NPO,30,1073741824,1073741824,,,64,1,1,OK,136.186698,7884.337,17181967496,1.00012214,final-full-main-s2e30.raw.csv
PRO,PRO,30,1073741824,1073741824,,18,64,1,1,OK,516.019096,2080.818,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,30,1073741824,1073741824,1,,64,1,1,OK,23.255246,46172.027,2147483650,0.12500000,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,30,1073741824,1073741824,2,,64,1,1,OK,20.401446,52630.672,3221225475,0.18750000,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,30,1073741824,1073741824,4,,64,1,1,OK,19.195601,55936.870,5368709125,0.31250000,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,6,64,1073741824,4,18,64,1,1,OK,1187.628247,904.106,315,0.00000004,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,7,128,1073741824,4,18,64,1,1,OK,1177.707485,911.722,640,0.00000007,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,8,256,1073741824,4,18,64,1,1,OK,1185.124572,906.016,1280,0.00000015,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,9,512,1073741824,4,18,64,1,1,OK,1223.896831,877.314,2560,0.00000030,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,10,1024,1073741824,4,18,64,1,1,OK,1273.716605,842.999,5120,0.00000060,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,11,2048,1073741824,4,18,64,1,1,OK,1276.631811,841.074,10240,0.00000119,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,12,4096,1073741824,4,18,64,1,1,OK,1255.510930,855.223,20480,0.00000238,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,13,8192,1073741824,4,18,64,1,1,OK,1262.018592,850.813,40960,0.00000477,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,14,16384,1073741824,4,18,64,1,1,OK,1154.542479,930.015,81920,0.00000954,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,15,32768,1073741824,4,18,64,1,1,OK,1117.747545,960.630,163840,0.00001907,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,16,65536,1073741824,4,18,64,1,1,OK,1117.788271,960.595,327680,0.00003814,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,17,131072,1073741824,4,18,64,1,1,OK,1104.559021,972.100,655360,0.00007628,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,18,262144,1073741824,4,18,64,1,1,OK,1074.702608,999.106,1310725,0.00015255,final-full-main-s2e30.raw.csv
PRVJ,PRVJ_best,19,524288,1073741824,4,18,64,1,1,OK,1069.263747,1004.188,2621445,0.00030503,final-full-main-s2e30.raw.csv
